Meetjaar,WaterbeheerderCode,WaterbeheerderNaam,Namespace,Identificatie,MeetobjectCode,Omschrijving,GeometriePuntX_RD,GeometriePuntY_RD,KRWwatertypeCode,KRWwatertypeOmschrijving,WatergangCategorieCode,WatergangCategorieOmschrijving,HoortbijGeoobjectIdentificatie,Wegingsfactor,LigtInGeoobjectIdentificatie,PublicatieDatumTijd,cluster_id,cluster_prob,relevant,Naam,Grootte,Eerste aanplant,distance_m
2023,27,Waterschap De Dommel,NL27,E26-4,NL27_E26-4,Beekloop_TUSSEN DE STUW LISKES EN DE MAAIJ TE BERGEIJK,154827.0,365907.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,52,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E27-1,NL27_E27-1,Keersop_TRAJECT GAGELVELDEN DOMMELEN,157345.0,375583.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,78,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E27-2,NL27_E27-2,Keersop_DIRECT BENEDENSTROOMS KEERSOPPERMOLEN,157276.0,375058.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,78,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E27-4,NL27_E27-4,Keersop_TRJAECT KEERSOPPERDREEF DOMMELEN,157360.0,374145.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,78,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E27-5,NL27_E27-5,Keersop_TRAJECT KEERSOPPERDREEF T.H.V. BROUWERIJ,157486.0,373298.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,78,0.7251673633837603,False,,,,
2023,27,Waterschap De Dommel,NL27,E28-1,NL27_E28-1,Run_BENEDENSTROOMS STUW SCHADEWIJK EERSEL,152204.0,374359.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240035,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E28-2,NL27_E28-2,Run_BIJ ZANDSTRAAT BROEKHOVEN/WALIK,154440.0,375659.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240035,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E28-3,NL27_E28-3,Run_TER HOOGTE VAN WITVEN VELDHOVEN,156582.0,378902.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240035,1.0,,2024-06-21T11:04:07+02:00,130,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E28-4,NL27_E28-4,Run_IN LANDGOED HEIJBROECK EERSEL,151585.0,373550.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240035,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E28-5,NL27_E28-5,BENEDENSTROOMS_WATERBERGINSTUW_GROOTGOOR,155691.0,377150.0,R4a,Permanente langzaam stromende laagland bovenloop op zand,,,,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E38-2,NL27_E38-2,Reusel_BOVENSTROOMS STUW HONDSBERG,141278.0,397496.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E38-3,NL27_E38-3,Reusel_NET BOVENSTROMS SAMENKOMST MET VOORSTE STROOM OISTERWIJK,143218.0,399136.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,127,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E39-1,NL27_E39-1,Reusel_BOVENSTROOMS WATERHOEFSTRAAT MOERGESTEL,140730.0,395924.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E40-1,NL27_E40-1,Reusel_BIJ BROEKZIJDE,140865.0,392381.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,116,0.9273425618099632,False,,,,
2023,27,Waterschap De Dommel,NL27,E40-2,NL27_E40-2,Reusel_BENEDENSTROOMS WILHELMINAKANAAL BIJ DEN OPSLAG,140651.0,390897.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,116,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E40-3,NL27_E40-3,Reusel_TER HOOGTE VAN RWZI BIEST-HOUTAKKER,140570.0,390015.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,116,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E42-1,NL27_E42-1,Reusel_BENEDENSTROOMS HOOGHUISWEG TE DIESSEN,140792.0,388598.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,116,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E43-1,NL27_E43-1,Meander Turkaa_MEANDER DE TURKAA BIJ INSTROOM,141043.0,386407.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,115,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E43-2,NL27_E43-2,Reusel_BOVENSTROOMS WATERMOLENWEG TE BAARSCHOT,141035.0,386028.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,115,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E43-3,NL27_E43-3,Reusel_BIJ MOLENEIND BAARSCHOT,140337.0,385075.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E43-4,NL27_E43-4,Reusel_PRINSHENDRIKLAAN LANDGOED DE UTRECHT ESBEEK,139626.0,383244.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,129,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E43-5,NL27_E43-5,Reusel_DUNSEDIJK LANDGOED DE UTRECHT,139083.0,382774.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240105,1.0,,2024-06-21T11:04:07+02:00,129,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E44-1,NL27_E44-1,LANDGOED_DE_UTRECHT_BIJ_MONDING_RAAMSLOOP,138673.0,382032.0,R4a,Permanente langzaam stromende laagland bovenloop op zand,,,,1.0,,2024-06-21T11:04:07+02:00,129,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E45-1,NL27_E45-1,LANDGOED_DE_UTRECHT_BIJ_MONDING_IN_REUSEL,138819.0,382063.0,R4a,Permanente langzaam stromende laagland bovenloop op zand,,,,1.0,,2024-06-21T11:04:07+02:00,129,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E46-1,NL27_E46-1,BUITENMAN_TE__LAGE_MIERDE,137803.0,380665.0,R4a,Permanente langzaam stromende laagland bovenloop op zand,,,,1.0,,2024-06-21T11:04:07+02:00,128,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E46-2,NL27_E46-2,HOOGEMIERDSEWEG_TE_LAGE_MIERDE,137960.0,379365.0,R4a,Permanente langzaam stromende laagland bovenloop op zand,,,,1.0,,2024-06-21T11:04:07+02:00,123,0.9682538825864132,False,,,,
2023,27,Waterschap De Dommel,NL27,E46-3,NL27_E46-3,BENEDENSTROOMS_LANGVOORT_TE_HOOGE_MIERDE,138434.0,377768.0,R4a,Permanente langzaam stromende laagland bovenloop op zand,,,,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E47-1,NL27_E47-1,BOVENSTROOMS_STUW_RS42-ST7_BIJ_DUNSEDIJK,138863.0,380720.0,R4a,Permanente langzaam stromende laagland bovenloop op zand,,,,1.0,,2024-06-21T11:04:07+02:00,128,1.0,False,,,,
